,name,title,degrees,leave
118,Steven Fein,Chair and Professor of Psychology,"1986, A.B., Princeton University, 1991, Ph.D., University of Michigan",n
119,Ezra D. Feldman,Visiting Assistant Professor of English,"2002, A.B., Harvard University, 2008, M.F.A., Cornell University, 2017, Ph.D., Cornell University",n
120,Ronald L. Feldman,Artist in Residence in Orchestral and Institutionrumental Activities/Lecturer in Music,"Director of the Berkshire Symphony, 1971, B.M., Boston University",n
121,Jessica M. Fisher,Assistant Professor of English,"1998, B.A., Swarthmore College, 2003, M.A., University of California, Berkeley, 2009, Ph.D., University of California, Berkeley",n
122,Stephen E. Fix,Robert G Scott ’68 Professor of English,"1974, B.A., Boston College, 1977, M.A., Cornell University, 1980, Ph.D., Cornell University",n
123,Kevin M. Flaherty,Lecturer in Astronomy and Observatory Supervisor,"2005, B.S., University of Rochester, 2011, Ph.D., University of Arizona",n
124,Antonia E. Foias,Chair and Professor of Anthropology,"1987, B.A., Harvard University, 1996, Ph.D., Vanderbilt University",n
125,VaNatta S. Ford,Assistant Professor of Africana Studies,"2000, B.S., Illinois State University, 2005, M.Div., Howard University, 2011, Ph.D., Howard University",y
126,Michael Fortunato,Visiting Professor of Economics,"1976, A.B., Columbia University, 1982, M.A., Harvard University, 1984, Ph.D., Harvard University, Spring 2019",n
127,Soledad Fox,Professor of Spanish and Comparative Literature,"1990, B.A., Sarah Lawrence College, 1997, M.A., City University of New York, 2001, Ph.D., City University of New York",n
128,Jennifer L. French,Chair of Romance Languages and Professor of Spanish,"1995, B.A., College of William and Mary, 1997, M.A., Rutgers University, 2001, Ph.D., Rutgers University",n
129,Stephen N. Freund,Professor of Computer Science,"1995, B.S., Stanford University, 1998, M.S., Stanford University, 2000, Ph.D., Stanford University",n
130,Alexandra Garbarini,Professor of History,"1994, B.A., Williams College, 1997, M.A., University of California, Los Angeles, 2003, Ph.D., University of California, Los Angeles",y
131,Thomas A. Garrity,Webster Atwell Class of 1921 Professor of Mathematics,"1981, B.S., University of Texas, Austin, 1986, Ph.D., Brown University",n
132,Prisca Gayles,Gaius Charles Bolin Fellow in Africana Studies,"2010, B.A., University of Pennsylvania, 2013, M.A., University of South FL",n
133,William M. Gentry,Professor of Economics,"1986, B.S., Massachusetts Institute of Technology, 1991, M.A., Princeton University, 1991, Ph.D., Princeton University",n
134,Steven B. Gerrard,Professor of Philosophy,"1978, B.A., Amherst College, 1982, M.A., University of Chicago, 1987, Ph.D., University of Chicago",n
135,Christopher P. Gibson,Stanley Kaplan Distinguished Visiting Professor of American Foreign Policy,"1986, B.A., Siena College, 1995, M.P.A., Cornell University, 1998, Ph.D., Cornell University",n
136,Matthew D. Gibson,Assistant Professor of Economics,"2005, A.B., Harvard University, 2015, Ph.D., University of California, San Diego",y
137,Lisa A. Gilbert,Associate Professor of Geosciences and Marine Sciences at Williams-Mystic,"1997, A.B., Dartmouth College, 1999, M.S., University of Washington, 2004, Ph.D., University of Washington",n
138,Meghan K. Gillis,Assistant Professor of Physical Education and Head Coach of Women’s Ice Hockey,"2007, B.A., Bowdoin College, 2009, M.S., University of Massachusetts Amherst",n
139,Aracelis Girmay,Margaret Bundy Scott Professor of English,none,s
140,Michael A. Glier,Alexander Falck Class of 1899 Professor of Art,"1976, B.A., Williams College, 1977, M.A., Hunter College, City University of New York",n
141,Susan Godlonton,Assistant Professor of Economics,"2003, B.A., University of CapeTown, 2007, M.A., University of CapeTown, 2013, Ph.D., University of Michigan",f
142,Christopher Goh,Associate Professor of Chemistry,"1989, B.S., University of Durham, 1996, Ph.D., Harvard University",s
143,Sarah L. Goh,Professor of Chemistry,"1996, B.S., University of Michigan, 1998, M.S., University of Massachusetts Amherst, 2004, Ph.D., University of California, Berkeley",s
144,Matthew A. Gold,Artist in Residence in Percussion and Contemporary Music Performance,"1994, B.M., Northwestern University, 2016, M.M., Rice University",n
145,Leo I. Goldmakher,Assistant Professor of Mathematics,"2004, B.A., Princeton University, 2009, Ph.D., University of Michigan",n
146,Barry Goldstein,Visiting Professor of Humanities,"1973, B.S., Union College, 1976, M.S., University of Rochester, 1982, Ph.D., University of Rochester, Fall 2018",n
147,Edward Gollin,Chair and Professor of Music,"1992, B.S., Massachusetts Institute of Technology, 1995, M.A., Queens College, 2000, Ph.D., Harvard University",n
148,Marc Gotlieb,Director of the Graduate Program in Art History and Class of 1955 Memorial Professor of Art,"1980, B.A., University of Toronto, 1984, M.A., Johns Hopkins University, 1990, Ph.D., Johns Hopkins University",n
149,Kai M. Green,Assistant Professor of Women’s Gender and Sexuality Studies,"2007, B.A., Williams College, 2011, M.A., University of Southern CA, 2014, Ph.D., University of Southern CA",n
150,Daniel R. Greenberg,Assistant Professor of Physical Education and Head Coach of Men’s Tennis,"2008, B.A., Williams College, 2013, M.Ed., Massachusetts College of Liberal Arts",n
151,David E. Gurcay-Morris,Associate Professor of Theatre,"1996, B.A., Williams College, 2001, M.F.A., University of Washington",n
152,Kim I. Gutschow,Lecturer in Religion and Anthropology/Sociology,"1988, B.A., Harvard University, 1995, M.A., Harvard University, 1998, Ph.D., Harvard University",n
153,Catherine R. Hall,Associate Professor at Williams-Mystic,"1985, B.A., University of Rhode Island, 1989, J.D., Vermont Law School",n
154,Amie A. Hane,Professor of Psychology,"1996, B.A., University of Maryland, 1999, M.A., University of Maryland, 2002, Ph.D., University of Maryland",n
155,Rachel E. Harding,Sterling Brown ’22 Visiting Professor of Africana Studies,"1986, B.A., Brown University, 1990, M.F.A., Brown University, 1997, Ph.D., University of Colorado, Fall 2018",n
156,Nicole T. Harrington,Visiting Assistant Professor of Psychology,"1987, B.A., Boston College, 1995, Ph.D., University of Vermont",n
157,Pamela E. Harris,Assistant Professor of Mathematics,"2005, B.S., Marquette University, 2008, M.S., University of Wisconsin, Milwaukee, 2012, Ph.D., University of Wisconsin, Milwaukee",n
158,Ilana Y. Harris-Babou,Visiting Lecturer in Art,"2013, B.A., Yale University, 2016, M.F.A., Columbia University",n
159,Kathryn M. Hart,Assistant Professor of Chemistry,"2004, B.S., Haverford College, 2013, Ph.D., University of California, Berkeley",n
160,Mamoru Hatakeyama,Visiting Lecturer in Japanese,"1995, B.A., Waseda University, 2000, M.A., University of Wisconsin, Madison",n
161,Man He,Assistant Professor of Chinese,"2000, B.A., Renmin University, 2009, M.A., Ohio State University, 2015, Ph.D., Ohio State University",y
162,Laurie Heatherington,Edward Dorr Griffin Professor of Psychology,"1976, B.A., Miami University, 1981, Ph.D., University of Connecticut",n
163,Guy M. Hedreen,Amos Lawrence Professor of Art,"1981, B.A., Pomona College, 1983, M.A., Bryn Mawr College, 1988, Ph.D., Bryn Mawr College",n
164,Brent A. Heeringa,Associate Professor of Computer Science,"1999, B.A., University of Minnesota, 2002, M.S., University of Massachusetts Amherst, 2006, Ph.D., University of Massachusetts Amherst",y
165,Peter S. Heller,Visiting Professor of Economics,"1967, B.A., Trinity College, 1972, Ph.D., Harvard University, Spring 2019",n
166,Kristin M. Herman,"Assistant Professor of Physical Education, Head Softball Coach","1986, B.A., Tufts University, 1989, M.A., Tufts University",n
167,Bethany F. Hicok,Lecturer in English,"1980, B.A., Russell Sage College, 1992, M.A., University of Rochester, 1996, Ph.D., University of Rochester",n
168,Jacqueline Hidalgo,Associate Professor of Latina/o Studies and Religion,"2000, B.A., Columbia University, 2003, M.A., Union Theological Seminary, 2010, Ph.D., Claremont Graduate University",y
169,Chad M. Higdon-Topaz,Professor of Mathematics,"1996, A.B., Harvard University, 1997, M.S., Northwestern University, 2002, Ph.D., Northwestern University",n
170,Joshua D. Hillman,Lecturer in Physical Education and Head Men’s Golf Coach,"2000, B.A., University of Rhode Island",n
171,Alan Hirsch,Lecturer in Humanities,"1981, B.A., Amherst College, 1985, J.D., Yale University",n
172,Marjorie W. Hirsch,Professor of Music,"1982, B.A., Yale University, 1985, M.Phil., Yale University, 1989, Ph.D., Yale University",y
173,Nathan D. Hoey,"Assistant Professor of Physical Education, Head Women’s Track & Field Coach","2000, B.S., Slippery Rock University",n
174,Amy S. Holzapfel,Chair and Associate Professor of Theatre,"1996, B.A., Brown University, 2001, M.F.A., Yale Sch of Drama, 2006, D.F.A., Yale Sch of Drama",n
175,Kiaran Honderich,Lecturer in Women’s Gender and Sexuality Studies,"1983, B.A., Oxford University, 1984, M.A., Columbia University, 1991, Ph.D., University of Massachusetts Amherst",n
176,Scott D. Honecker,Assistant Professor of Physical Education and Head Coach of Wrestling,"2010, B.S., East Carolina University",n
177,Catherine N. Howe,Lecturer in Art,"1997, B.A., Barnard College, 2005, M.A., University of California, Santa Barbara, 2012, Ph.D., University of California, Santa Barbara",n
178,Nicolas C. Howe,Associate Professor of Environmental Studies and Faculty Affiliate in Anthropology and Sociology,"1998, B.A., Columbia University, 2003, M.A., University of California, Los Angeles, 2009, Ph.D., University of California, Los Angeles",n
179,Iris K. Howley,Assistant Professor of Computer Science,"2008, B.S., Drexel University, 2012, Ph.D., Carnegie Mellon University",n
180,Vivian L. Huang,Assistant Professor of Women’s Gender and Sexuality Studies,"2008, B.A., University of California, Berkeley, 2009, M.A., New York University, 2016, Ph.D., New York University",n
181,Jeffrey I. Israel,Assistant Professor of Religion,"1999, B.A., Oberlin College, 2001, M.A., University of Chicago, 2011, Ph.D., University of Chicago",n
182,Vladimir V. Ivantsov,Visiting Assistant Professor of Russian,"2018, Ph.D., McGill University",n
183,Olesya Ivantsova,Visiting Lecturer in the Graduate Program in Art History,none,n
184,Charles F. Jackson,Visiting Assistant Professor of Art,"1984, B.F.A., VA Commonwealth University, 1990, M.F.A., University of California, Davis, Fall 2018",n
185,Galen E. Jackson,Assistant Professor of Political Science,"2009, B.A., Williams College, 2010, M.A., University of Chicago, 2016, Ph.D., University of California, Los Angeles",n
186,Sarah A. Jacobson,Associate Professor of Economics,"1998, B.S., Harvey Mudd College, 2005, M.A., Georgia State University, 2010, Ph.D., Georgia State University",n
187,Joy A. James,Francis Christopher Oakley Third Century Professor of Humanities,"1980, B.A., Saint Mary’s University, 1982, M.A., Fordham University, 1987, Ph.D., Fordham University",n
188,Ju-Yu Scarlett Jang,Professor of Art,"1969, B.A., National Cheng-Chih University, 1984, M.A., University of California, Berkeley, 1989, Ph.D., University of California, Berkeley",n
189,William K. Jannen,Assistant Professor of Computer Science,"2009, B.A., Williams College",n
190,Katharine E. Jensen,Assistant Professor of Physics,"2004, A.B., Princeton University, 2013, Ph.D., Harvard University",n
191,Cathy M. Johnson,James Phinney Baxter III Professor of Political Science,"1979, B.A., Dartmouth College, 1986, Ph.D., University of Michigan",n
192,Shakia F. Johnson,Arthur Levitt Jr. ’52 Artist-in-Residence,none,s
193,Stewart D. Johnson,Professor of Mathematics,"1979, B.A., Fort Lewis College, 1985, Ph.D., Stanford University",n
194,Walter A. Johnston,Visiting Assistant Professor of English,"2002, B.A., Bard College, 2007, M.A., Princeton University, 2012, Ph.D., Princeton University",n
195,Kevin M. Jones,William Edward McElfresh Professor of Physics,"1977, B.A., Williams College, 1983, Ph.D., Stanford University",n
196,Peter Just,Professor of Anthropology,"1972, B.A., University of Chicago, 1979, M.A., University of Pennsylvania, 1986, Ph.D., University of Pennsylvania",n
197,Shinko Kagaya,Professor of Japanese,"1989, B.A., Aoyama Gakuin University, 1991, M.A., Ohio State University, 1999, Ph.D., Ohio State University",n
198,William R. Kangas,Assistant Professor of Physical Education and Head Men’s Ice Hockey Coach,"1982, B.A., University of Vermont, 1994, M.Ed., Massachusetts College of Liberal Arts",n
199,Aparna Kapadia,Assistant Professor of History,"1998, B.A., St Xavier’s College, Mumbai University, 2005, M.Phil., Jawaharlal Nehru University, 2010, Ph.D., University of London",n
