,name,title,degrees,leave
98,Sara Dubow,Professor of History; 1991,"B.A., Williams College, 1996, M.A., University of Massachusetts at Amherst, 2003, Ph.D., Rutgers University",n
99,Susan Dunn,Massachusetts Professor of Humanities;,"B.A., Smith College, , Ph.D., Harvard University; affiliated with: Leadership Studies Program",n
100,David B. Edwards,James N. Lambert '39 Professor of Anthropology; 1975,"B.A., Princeton University, 1979, M.A., University of Michigan, 1986, Ph.D., University of Michigan",n
101,Holly Edwards,Senior Lecturer in Art; 1975,"B.A., Princeton University, 1981, M.A., University of Michigan, 1990, Ph.D., New York University Institute of Fine Arts",n
102,Joan Edwards,Samuel Fessenden Clarke Professor of Biology; 1971,"B.A., University of Michigan, 1972, M.S., University of Michigan, 1978, Ph.D., University of Michigan",n
103,Tomas Ekholm,STINT - Research Scholar; 2000,"B.S., Stockholm University, 2005, Ph.D., Royal Institute of Technology, KTH",n
104,Radwa M. El Barouni,Visiting Lecturer in Arabic Studies; 1999,"B.A., Alexandria University, 2001, M.A., Alexandria University, 2016, M.A., University of Texas, Austin",n
105,Brahim El Guabli,Assistant Professor of Arabic Studies; 2005,"B.A., Bordeaux III University, 2016, Ph.D., Princeton University",n
106,Susan L. Engel,Senior Lecturer in Psychology,"The Class of 1959 Director of Program in Teaching; 1980, B.A., Sarah Lawrence College, 1985, Ph.D., City University of New York",n
107,Laura D. Ephraim,Associate Professor of Political Science,"Chair of Science and Technology Studies; 2000, B.A., Pomona College, 2010, Ph.D., Northwestern University",n
108,Amal Eqeiq,Assistant Professor of Comparative Literature; 1997,"B.A., Hebrew University, 2004, M.A., Tel Aviv University, 2006, M.A., University of Oregon, 2013, Ph.D., University of Washington; affiliated with: Comparative Literature Program; on leave 2019-2020",y
109,Pete Farwell,Assistant Professor of Physical Education,"Head Cross Country Coach, and Assistant Coach Men's and Women's Track; 1973, B.A., Williams College, 1990, M.A., Central Michigan University",n
110,Steven Fein,Professor of Psychology; 1986,"A.B., Princeton University, 1991, Ph.D., University of Michigan",n
111,Ezra D. Feldman,Visiting Assistant Professor of English; 2002,"A.B., Harvard University, 2008, M.F.A., Cornell University, 2017, Ph.D., Cornell University",n
112,Ronald L. Feldman,Artist in Residence in Orchestral and Instrumental Activities/Lecturer in Music,"Director of the Berkshire Symphony; 1971, B.M., Boston University School for the Arts",n
113,Jessica M. Fisher,Associate Professor of English; 1998,"B.A., Swarthmore College, 2003, M.A., University of California, Berkeley, 2009, Ph.D., University of California, Berkeley",n
114,Stephen Fix,Robert G Scott '68 Professor of English; 1974,"B.A., Boston College, 1977, M.A., Cornell University, 1980, Ph.D., Cornell University",n
115,Kevin Flaherty,Lecturer in Astronomy and Observatory Supervisor; 2005,"B.S., University of Rochester, 2011, Ph.D., University of Arizona; affiliated with: Physics Department",n
116,Antonia E. Foias,Professor of Anthropology; 1987,"B.A., Harvard University, 1996, Ph.D., Vanderbilt University; on leave 2019-2020",y
117,VaNatta S. Ford,Assistant Professor of Africana Studies; 2000,"B.S., Illinois State University, 2005, M.Div., Howard University, 2011, Ph.D., Howard University; on leave Fall 2019",f
118,Michael Fortunato,Visiting Professor of Economics; 1976,"A.B., Columbia University, 1982, M.A., Harvard University, 1984, Ph.D., Harvard University",n
119,Caroline O. Fowler,Lecturer in the Graduate Program in Art History; 2012,"Ph.D., Princeton University",n
120,Soledad Fox,V-Nee Yeh '81 Professor of Spanish and Comparative Literature; 1990,"B.A., Sarah Lawrence College, 1997, M.A., City University of New York, 2001, Ph.D., City University of New York; on leave 2019-2020",y
121,Jennifer L. French,Chair of Romance Languages and Professor of Spanish; 1995,"B.A., College of William and Mary, 1997, M.A., Rutgers University, 2001, Ph.D., Rutgers University",n
122,Stephen N. Freund,Professor of Computer Science; 1995,"B.S., Stanford University, 1998, M.S., Stanford University, 2000, Ph.D., Stanford University",n
123,Alexandra Garbarini,Professor of History; 1994,"B.A., Williams College, 1997, M.A., University of California, Los Angeles, 2003, Ph.D., University of California, Los Angeles",n
124,Thomas A. Garrity,Webster Atwell Class of 1921 Professor of Mathematics; 1981,"B.A., University of Texas, 1981, B.S., University of Texas, 1986, Ph.D., Brown University",n
125,Prisca Gayles,Gaius Charles Bolin Fellow in Africana Studies; 2010,"B.A., University of Pennsylvania, 2013, M.A., University of South Florida",n
126,Amy Gehring,Professor of Chemistry; 1994,"B.A., Williams College, 1998, Ph.D., Harvard University, 2002, Postdoctoral Fellow at, Harvard University",n
127,William M. Gentry,Professor of Economics; 1986,"B.S., Massachusetts Institute of Technology, 1991, Ph.D., Princeton University, 1991, M.A., Princeton University; on leave Fall 2019",f
128,Steven B. Gerrard,Professor of Philosophy; 1978,"B.A., Amherst College, 1982, M.A., University of Chicago, 1987, Ph.D., University of Chicago",n
129,Chris Gibson,Stanley Kaplan Distinguished Visiting Professor of American Foreign Policy; 1986,"B.A., Siena College, 1995, M.P.A., Cornell University, 1998, Ph.D., Cornell University",n
130,Matthew Gibson,Assistant Professor of Economics; 2005,"A.B., Harvard University, 2015, Ph.D., University of California, San Diego; on leave Fall 2019",f
131,Lisa A. Gilbert,Associate Professor of Geosciences and Marine Sciences at Williams-Mystic; 1997,"A.B., Dartmouth College, 1999, M.S., University of Washington, 2004, Ph.D., University of Washington; affiliated with: Geosciences Department",n
132,Meghan K. Gillis,Assistant Professor of Physical Education and Head Coach of Women's Ice Hockey; 2007,"B.A., Bowdoin College, 2009, M.S., University of Massachusetts, Amherst",n
133,Graham K. Giovanetti,Assistant Professor of Physics; 2006,"B.S., College of William and Mary, 2015, Ph.D., University of North Carolina, Chapel Hill",n
134,Michael A. Glier,Alexander Falck Class of 1899 Professor of Art; 1976,"B.A., Williams College, 1977, M.A., Hunter College City University of New York; on leave 2019-2020",y
135,Susan Godlonton,Assistant Professor of Economics; 2003,"B.A., University of Cape Town, 2003, B.A., Stellenbosch University, 2007, M.A., University of Cape Town, 2013, Ph.D., University of Michigan",n
136,Eva G. Goedhart,Visiting Assistant Professor of Mathematics; 2003,"B.S., James Madison University, 2005, Ph.D., Bryn Mawr College",n
137,Christopher Goh,Associate Professor of Chemistry,"Faculty Fellow of the Davis Center and the Office of Institutional Diversity and Equity; 1989, B.S., University of Durham, 1996, Ph.D., Harvard University; affiliated with: The Davis Center, VP-InstDiversity&Equity Office",n
138,Sarah L. Goh,Chair and Professor of Chemistry; 1996,"B.S., University of Michigan, 1998, M.S., University of Massachusetts, Amherst, 2004, Ph.D., University of California, Berkeley",n
139,Leo Goldmakher,Assistant Professor of Mathematics; 2004,"B.A., Princeton University, 2009, Ph.D., University of Michigan; on leave Fall 2019",f
140,Barry Goldstein,Visiting Professor of Humanities; 1973,"B.S., Union College, 1976, M.S., University of Rochester, 1981, M.D., University of Rochester, 1982, Ph.D., University of Rochester",n
141,Matthew A. Gold,Artist in Residence in Percussion and Contemporary Music Performance; 1994,"B.M., Northwestern University, 2016, M.M., Shepherd School of Music, Rice University",n
142,Ed Gollin,Chair and Professor of Music; 1992,"B.S., Massachusetts Institute of Technology, 1995, M.A., Queens College, CUNY, 2000, Ph.D., Harvard University",n
143,Marc Gotlieb,Director of the Graduate Program in Art History and Class of 1955 Memorial Professor of Art; 1980,"B.A., University of Toronto, 1984, M.A., Johns Hopkins University, 1990, Ph.D., Johns Hopkins University; affiliated with: Art Department",n
144,David Gürçay-Morris,Chair and Associate Professor of Theatre; 1996,"B.A., Williams College, 2001, M.F.A., University of Washington, Seattle",n
145,Daniel R. Greenberg,Assistant Professor of Physical Education and Head Coach of Men's Tennis; 2013,"M.Ed., Massachusetts College of Liberal Arts",n
146,Kai M. Green,Assistant Professor of Women's,"Gender and Sexuality Studies; 2007, B.A., Williams College, 2011, M.A., University of Southern California, 2014, Ph.D., University of Southern California",n
147,Wang Guowei,Artist in Residence in Chinese Music Performance and Director of the Williams College Chinese Ensemble,none,n
148,Kim Gutschow,Lecturer in Religion and Anthropology/Sociology; 1988,"B.A., Harvard University, 1995, M.A., Harvard University, 1998, Ph.D., Harvard University; affiliated with: Anthropology and Sociology",n
149,Catherine Robinson Hall,Associate Professor at Williams-Mystic; 1985,"B.A., University of Rhode Island, 1989, J.D., Vermont Law School; affiliated with: Maritime Studies Program",n
150,Amie A. Hane,Professor of Psychology,"Chair of Public Health; 1996, B.A., University of Maryland, 1999, M.A., University of Maryland, 2002, Ph.D., University of Maryland",n
151,Ilana Y. Harris-Babou,Visiting Assistant Professor of Art; 2013,"B.A., Yale University, 2016, M.F.A., Columbia University",n
152,Pamela E. Harris,Assistant Professor of Mathematics; 2005,"B.S., Marquette University, 2008, M.S., University of Wisconsin, Milwaukee, 2012, Ph.D., University of Wisconsin, Milwaukee; on leave 2019-2020",y
153,Katie M. Hart,Assistant Professor of Chemistry; 2004,"B.S., Haverford College, 2013, Ph.D., University of California, Berkeley; on leave Fall 2019",f
154,Laurie Heatherington,Edward Dorr Griffin Professor of Psychology; 1976,"B.A., Miami University, 1981, Ph.D., University of Connecticut; on leave Fall 2019",f
155,Guy M. Hedreen,Amos Lawrence Professor of Art; 1981,"B.A., Pomona College, 1983, M.A., Bryn Mawr College, 1988, Ph.D., Bryn Mawr College",n
156,Peter S. Heller,Visiting Professor of Economics; 1967,"B.A., Trinity College, 1972, Ph.D., Harvard University",n
157,Kris Herman,Assistant Professor of Physical Education,"Head Softball Coach; 1986, B.A., Tufts University, 1989, M.A., Tufts University",n
158,Man He,Assistant Professor of Chinese; 2000,"B.A., Renmin University, 2004, M.A., Seton Hall University, 2009, M.A., Ohio State University, 2015, Ph.D., Ohio State University; on leave Fall 2019",f
159,Bethany Hicok,Lecturer in English; 1980,"B.A., Russell Sage College, 1990, M.A.T., University of Rochester, 1992, M.A., University of Rochester, 1996, Ph.D., University of Rochester",n
160,Jacqueline Hidalgo,Chair of Religion and Associate Professor of Latina/o Studies and Religion; 2000,"B.A., Columbia University, 2003, M.A., Union Theological Seminary, 2010, Ph.D., Claremont Graduate University; affiliated with: Latina/o Studies Program",n
161,Josh D. Hillman,Lecturer in Physical Education and Head Men's Golf Coach; 2000,"B.A., University of Rhode Island",n
162,Alan Hirsch,Lecturer in Humanities,"Chair of Justice and Law Studies; 1981, B.A., Amherst College, 1985, J.D., Yale University; affiliated with: Justice and Law",n
163,Marjorie W. Hirsch,Professor of Music; 1982,"B.A., Yale University, 1985, M.Phil., Yale University, 1989, Ph.D., Yale University",n
164,Nate D. Hoey,Assistant Professor of Physical Education,"Head Women's Track & Field Coach; 2000, B.S., Slippery Rock College",n
165,Amy S. Holzapfel,Professor of Theatre; 1996,"B.A., Brown University, 2001, M.F.A., Yale School of Drama, 2006, D.F.A., Yale School of Drama; on leave 2019-2020",y
166,Kiaran Honderich,Chair and Lecturer in Women's,"Gender and Sexuality Studies; 1983, B.A., Oxford University, 1984, M.A., Columbia University, 1991, Ph.D., University of Massachusetts, Amherst; affiliated with: Public Health Program",n
167,Scott D. Honecker,Assistant Professor of Physical Education and Head Coach of Wrestling; 2010,"B.S., East Carolina University",n
168,Catherine N. Howe,Lecturer in Art; 1997,"B.A., Barnard College, 2005, M.A., University of California, Santa Barbara, 2012, Ph.D., University of California, Santa Barbara",n
169,Nicolas C. Howe,Associate Professor of Environmental Studies and Faculty Affiliate in Anthropology and Sociology; 1998,"B.A., Columbia University, 2003, M.A., University of",n
170,California,Los Angeles,"2009, Ph.D., University of California, Los Angeles; affiliated with: Anthropology and Sociology, American Studies Program; on leave 2019-2020",y
171,Iris Howley,Assistant Professor of Computer Science; 2008,"B.S., Drexel University, 2012, Ph.D., Carnegie Mellon University",n
172,Vivian L. Huang,Assistant Professor of Women's,"Gender, and Sexuality Studies; 2008, B.A., University of California, Berkeley, 2008, B.A., University of California, Berkeley, 2009, M.A., New York University, 2016, Ph.D., New York University",n
173,Jeffrey I. Israel,Associate Professor of Religion; 1999,"B.A., Oberlin College, 2001, M.A., University of Chicago, 2011, Ph.D., University of Chicago",n
174,Olesya Ivantsova,Visiting Lecturer in the Graduate Program in Art History; 2002,"Ph.D., Ulyanovsk State University",n
175,Vladimir Ivantsov,Visiting Assistant Professor of Russian; 2018,"Ph.D., McGill University",n
176,Galen E Jackson,Assistant Professor of Political Science; 2009,"B.A., Williams College, 2010, M.A., University of Chicago, 2016, Ph.D., University of California, Los Angeles",n
177,Frank Jackson,Visiting Assistant Professor of Art; 1984,"B.F.A., Virginia Commonwealth University, 1990, M.F.A., University of California, Davis",n
178,Sarah A. Jacobson,Associate Professor of Economics; 1998,"B.S., Harvey Mudd College, 2005, M.A., Georgia State University, 2010, Ph.D., Georgia State University",n
179,Joy A. James,Ebenezer Fitch Professor of Humanities; 1980,"B.A., St. Mary's University, San Antonio, 1982, M.A., Fordham University, 1987, Ph.D., Fordham University; affiliated with: Political Science Department; on leave Fall 2019",f
