,name,title,degrees,leave
0,Daniel P. Aalberts,Professor of Physics; 1989,"B.S., Massachusetts Institute of Technology, 1994, Ph.D., Massachusetts Institute of Technology, 1996, Postdoctoral Research at, University of Leiden, 1997, Postdoctoral Fellow at, Rockefeller University",n
1,Tomas Adalsteinsson,Assistant Professor of Physical Education and Head Women's Golf Coach,none,n
2,Colin C. Adams,Thomas T. Read Professor of Mathematics; 1978,"B.S., Massachusetts Institute of Technology, 1983, Ph.D., University of Wisconsin, Madison",n
3,Zaid Adhami,Assistant Professor of Religion and Faculty Affiliate in Anthropology & Sociology; 2010,"M.A., Stanford University, 2010, B.A., Stanford University; affiliated with: Anthropology and Sociology; on leave 2019-2020",y
4,Jeannie R Albrecht,Chair and Professor of Computer Science; 2001,"B.S., Gettysburg College, 2003, M.S., Duke University, 2007, Ph.D., University of California, San Diego",n
5,Laylah Ali,Francis Christopher Oakley Third Century Professor of Art; 1991,"B.A., Williams College, 1994, M.F.A., Washington University in St. Louis",n
6,Kris Allen,Lyell B. Clay Artist in Residence in Jazz Activities/Lecturer in Music,"Director of the Jazz Ensemble; 1998, B.M., Hartt School, University of Hartford, 2004, M.M., State University of NY, Purchase Conservatory; on leave Spring 2020",s
7,Sarah M. Allen,Associate Professor of Comparative Literature; 1992,"A.B., Harvard University, 1996, M.A., University of Michigan, 2003, Ph.D., Harvard University; on leave 2019-2020",y
8,Alex A. Apotsos,Lecturer in Geosciences; 1999,"B.S., Duke University, 2007, Ph.D., Massachusetts Institute of Technology",n
9,Michelle M. Apotsos,Assistant Professor of Art; 1999,"B.A., University of North Carolina, Chapel Hill, 2005, M.F.A., University of Arkansas, Fayetteville, 2006, M.A., Tufts University, 2013, Ph.D., Stanford University",n
10,Kevin M. App,Assistant Professor of Physical Education and Head Men's Basketball Coach; 2007,"B.S., Cornell University",n
11,Henry W. Art,Director of CES and the Environmental Studies Program,"Rosenburg Professor of Environmental Studies and Biology, Emeritus; 1966, B.A., Dartmouth College, 1969, M.Phil., Yale University, 1971, Ph.D., Yale University",n
12,Quamrul H. Ashraf,Professor of Economics; 1999,"B.A., Trinity College, 2004, M.A., Brown University, 2009, Ph.D., Brown University",n
13,Sonya K. Auer,Visiting Assistant Professor of Biology; 2001,"B.A., Prescott College, 2011, Ph.D., University of California, Riverside; affiliated with: Ctr-Environmental Studies",n
14,Duane A. Bailey,Professor of Computer Science; 1982,"B.A., Amherst College, 1984, M.S., University of Massachusetts, Amherst, 1988, Ph.D., University of Massachusetts, Amherst; on leave 2019-2020",y
15,Robert E. Baker-White,Professor of Theatre; 1980,"B.A., Williams College, 1983, M.F.A., University of Washington, 1990, Ph.D., Stanford University",n
16,Jon M. Bakija,W. Van Alan Clark '41 Third Century Professor in the Social Sciences; 1990,"B.A., Wesleyan University, 1995, M.A., University of Michigan, 2000, Ph.D., University of Michigan; on leave Spring 2020",s
17,Lois M. Banta,Chair and Professor of Biology; 1983,"B.A., Johns Hopkins University, 1990, Ph.D., California Institute of Technology",n
18,Daniel W. Barowy,Assistant Professor of Computer Science; 2002,"B.A., University of Massachusetts, Amherst, 2010, B.S., Boston University, 2013, M.S., Boston University, 2017, Ph.D., University of Massachusetts, Amherst",n
19,Alix H. Barrale,Assistant Professor of Physical Education and Head Field Hockey Coach; 1993,"B.A., Williams College, 1996, M.S., Smith College",n
20,Bill Barrale,Assistant Professor of Physical Education,"Head Baseball Coach; 1994, B.S., Northeastern University, 2004, M.A., Rowan University",n
21,Andrea Barrett,Senior Lecturer in English; 1974,"B.S., Union College",n
22,Ethan M. Barron,Assistant Professor of Physical Education,"Head Men's Track & Field Coach; 2001, B.A., Tufts University, 2005, M.Ed., Middlebury College",n
23,Melissa J. Barry,Professor of Philosophy; 1988,"B.A., Wheaton College, 1998, Ph.D., University of Notre Dame",n
24,Ron D. Bassar,Assistant Professor of Biology; 2001,"B.A., Prescott College, 2011, Ph.D., University of California, Riverside",n
25,Gene H. Bell-Villada,Harry C. Payne Professor of Romance Languages; 1963,"B.A., University of Arizona, 1967, M.A., University of California, Berkeley, 1974, Ph.D., Harvard University; on leave Spring 2020",s
26,Ben Benedict,Senior Lecturer; 1973,"B.A., Yale University, 1976, M.Arch., Yale University",n
27,Magnús T. Bernhardsson,Chair of Arabic Studies,"Brown Professor of History and Faculty Affiliate in Leadership Studies and Religion; 1990, B.A., University of Iceland, 1992, M.A., Yale University, 1999, Ph.D., Yale University; affiliated with: Leadership Studies Program, Arabic Studies Department, Religion Department",n
28,Alexander Bevilacqua,Assistant Professor of History; 2007,"B.A., Harvard University, 2008, M.Phil., Cambridge University, 2010, M.A., Princeton University, 2014, Ph.D., Princeton University",n
29,Mari Rodriguez Binnie,Assistant Professor of Art; 2005,"B.A., Northwestern University, 2011, M.A., University of Texas, Austin, 2017, Ph.D., University of Texas, Austin",n
30,Julie C. Blackwood,Associate Professor of Mathematics; 2006,"B.S., Rochester Institute of Technology, 2010, Ph.D., University of California, Davis",n
31,Roxana A. Blancas Curiel,Mellon Postdoctoral Fellow in Mexican Literature and Cultural Production; 2016,"Ph.D., University of California, Riverside",n
32,M. Jennifer Bloxam,Herbert H Lehman Professor of Music; 1979,"B.M., University of Illinois, 1982, M.A., Yale University, 1987, Ph.D., Yale University; on leave Spring 2020",s
33,Thomas P. Blumenauer,Lecturer in Physical Education,"Assistant Football Coach; 2007, B.S., Ithaca College, 2012, M.Ed., Saint Lawrence University",n
34,Casey D. Bohlen,Visiting Assistant Professor of History and Religion; 2008,"B.A., Brown University, 2013, M.A., Harvard University, 2016, Ph.D., Harvard University; affiliated with: Religion Department",n
35,Christopher A. Bolton,Professor of Comparative and Japanese Literature; 1989,"B.A., Harvard University, 1998, Ph.D., Stanford University",n
36,Ralph M. Bradburd,David A. Wells Professor of Political Economy; 1970,"B.A., Columbia College, 1975, M.A., Columbia University, 1976, Ph.D., Columbia University",n
37,Alice C. Bradley,Assistant Professor of Geosciences; 2011,"B.E., Dartmouth College, 2014, M.S., University of Colorado, Boulder, 2016, Ph.D., University of Colorado, Boulder",n
38,Rashida K. Braggs,Associate Professor of Africana Studies and Faculty Affiliate in Comparative Literature and American Studies; 1998,"B.A., Yale University, 2000, M.S., Boston University, 2006, Ph.D., Northwestern University; affiliated with: American Studies Program",n
39,Janis Bravo,Instructor in Biology; 1980,"B.S., Cornell University, 1990, Ph.D., Rutgers University",n
40,Johanna Breiding,Assistant Professor of Art; 2006,"B.A., Scripps College, 2012, M.F.A., California Institute of the Arts",n
41,Theresa Brock,Visiting Assistant Professor of French Language and Francophone Cultures; 2011,"B.A., University of Delaware, 2013, M.A., Pennsylvania State University, 2017, Ph.D., Pennsylvania State University",n
42,Nicholas Brooke,Visiting Assistant Professor of Music,none,n
43,Victoria Brooks,Visiting Lecturer in the Graduate Program in Art History; 2001,"B.A., University of Bristol, 2006, M.A., Royal College of Art",n
44,Deborah Brothers,Costume Director and Lecturer in Theatre; 1976,"B.F.A., University of New Orleans, 1979, M.F.A., California Institute of the Arts",n
45,Nicole G. Brown,Assistant Professor of Classics; 2001,"B.A., Mount Holyoke College, 2003, M.A., Princeton University, 2017, Ph.D., Princeton University",n
46,Denise K. Buell,Dean of the Faculty,"Cluett Professor of Religion; 1987, B.A., Princeton University, 1990, M.Div., Harvard University, 1995, Ph.D., Harvard University; affiliated with: Religion Department",n
47,Sandra L. Burton,Lipp Family Director of Dance and Senior Lecturer in Dance; 1983,"B.A., City College of New York, 1987, M.F.A., Bennington College",n
48,Andrew Bydlon,Visiting Assistant Professor of Mathematics; 2012,"B.S., Pennsylvania State University, 2017, Ph.D., University of Utah",n
49,Xizhen Cai,Assistant Professor of Statistics; 2014,"Ph.D., Pennsylvania State University; affiliated with: Mathematics",n
50,Corinna S. Campbell,Assistant Professor of Music; 2003,"B.M., Northwestern University, 2005, M.M., Bowling Green State University, 2012, Ph.D., Harvard University",n
51,Gerard Caprio,William Brough Professor of Economics; 1972,"B.A., Williams College, 1974, M.A., University of Michigan, 1976, Ph.D., University of Michigan",n
52,Deborah L. Carlisle,Instructor in Biology; 2014,"Ph.D., University of Massachusetts, Amherst",n
53,Josh Carlson,Visiting Assistant Professor of Mathematics; 2013,"B.S., Iowa State University, 2019, Ph.D., Iowa State University",n
54,Nicholas Carr,Richmond Visiting Professor; 1981,"B.A., Dartmouth College, 1984, M.A., Harvard University",n
55,Matt E. Carter,Associate Professor of Biology; 2000,"B.A., Whitman College, 2010, Ph.D., Stanford University; affiliated with: Neuroscience Program",n
56,Gregory P. Casey,Assistant Professor of Economics; 2018,"Ph.D., Brown University",n
57,Alison A. Case,Dennis Meenan '54 Third Century Professor of English; 1984,"B.A., Oberlin College, 1988, M.A., Cornell University, 1991, Ph.D., Cornell University",n
58,Julie A. Cassiday,Willcox B. and Harriet M. Adsit Professor of Russian; 1986,"B.A., Grinnell College, 1990, M.A., Stanford University, 1995, Ph.D., Stanford University",n
59,David N. Cassuto,Class of 1946 Visiting Distinguished Professor of Environmental Studies; 1985,"B.A., Wesleyan University, 1994, Ph.D., Indiana University",n
60,Anik A. Cepeda,Assistant Professor of Physical Education and Head Coach of Women's Tennis; 2013,"B.A., College of William and Mary",n
61,Maria Elena Cepeda,Chair and Professor of Latina/o Studies; 1995,"B.A., Kenyon College, 1997, M.A., University of Michigan, 2003, Ph.D., University of Michigan; affiliated with: Women, Gender & Sexuality Stdy, American Studies Program",n
62,Cecilia Chang,Frederick Latimer Wells Professor of Chinese; 1981,"B.A., Fu-Jen University, 1987, M.A., University of California, Los Angeles, 2004, Ph.D., University of Massachusetts, Amherst",n
63,Matthew Chao,Assistant Professor of Economics; 2006,"B.A., Dartmouth College, 2015, Ph.D., California Institute of Technology",n
64,Jessica Chapman,Associate Professor of History; 1999,"B.A., Valparaiso University, 2001, M.A., University of California, Santa Barbara, 2006, Ph.D., University of California, Santa Barbara; on leave Spring 2020",s
65,C. Ondine Chavoya,Professor of Art; 1992,"B.A., University of California, Santa Cruz, 1996, M.A., University of Rochester, 2002, Ph.D., University of Rochester; affiliated with: Latina/o Studies Program",n
66,Pei-Wen Chen,Assistant Professor of Biology; 2001,"B.S., National Yang-Ming University, 2003, M.S., Albert Einstein College of Medicine, 2008, Ph.D., Albert Einstein College of Medicine; on leave 2019-2020",y
67,Franny Choi,Gaius Charles Bolin Fellow in English; 2011,"B.A., Brown University, 2018, M.F.A., University of Michigan",n
68,Kerry A. Christensen,Garfield Professor of Ancient Languages; 1981,"B.A., Swarthmore College, 1983, M.A., Princeton University, 1993, Ph.D., Princeton University",n
69,Allana M. Clarke,Visiting Lecturer in Art; 2014,"M.F.A., Maryland Institute College of Art",n
70,Matthew M. Clasen,Visiting Assistant Professor of Psychology; 2014,"B.S., James Madison University, 2018, Ph.D., The American University; affiliated with: Neuroscience Program",n
71,Cassandra J. Cleghorn,Chair and Senior Lecturer in American Studies and English,"Chair of American Studies Program; 1983, B.A., University of California, Santa Cruz, 1988, M.A., Yale University, 1995, Ph.D., Yale University; affiliated with: American Studies Program",n
72,Phoebe A. Cohen,Associate Professor of Geosciences; 2002,"B.A., Cornell University, 2010, Ph.D., Harvard University",n
73,Jeremy D. Cone,Assistant Professor of Psychology; 2007,"B.A., University of Waterloo, 2012, Ph.D., Cornell University",n
74,Michael Conforti,Lecturer in the Graduate Program in Art History; 1968,"B.A., Trinity College, 1973, M.A., Harvard University, 1977, Ph.D., Harvard University",n
75,Eliza L Congdon,Assistant Professor of Psychology; 2008,"B.S., Brown University, 2016, Ph.D., University of Chicago",n
76,José A. Constantine,Assistant Professor of Geosciences; 1999,"B.S., College of William and",n
77,Mary,2002,"M.S., University of California, Davis, 2008, Ph.D., University of California, Santa Barbara; on leave 2019-2020",y
78,Mea S. Cook,Chair and Associate Professor of Geosciences; 1999,"B.A., Princeton University, 2006, Ph.D., Mass Institute of Technology - Woods Hole Oceanographic Institution Joint Program in Oceanography",n
79,Carl B. Cornell,Visiting Assistant Professor of French; 2011,"B.A., St. Lawrence University, 2018, Ph.D., Pennsylvania State University",n
80,Ronadh Cox,Edward Brust Professor of Geology and Mineralogy; 1985,"B.S., University College Dublin, 1993, Ph.D., Stanford University",n
81,George T. Crane,Chair of Asian Studies and the Edward S. Greenbaum 1910 Professor of Political Science; 1979,"B.A., State University of New York, Purchase, 1981, M.A., University of Wisconsin, Madison, 1986, Ph.D., University of Wisconsin, Madison; affiliated with: Asian Studies Department",n
82,Marshall Creighton,Lecturer in Physical Education and Assistant Strength & Conditioning Coach; 2002,"B.A., Williams College",n
83,Justin Crowe,Associate Professor of Political Science,"Chair of Leadership Studies Program; 2003, B.A., Williams College, 2005, M.A., Princeton University, 2007, Ph.D., Princeton University; affiliated with: Leadership Studies Program; on leave 2019-2020",y
84,Joseph L. Cruz,Professor of Philosophy; 1991,"B.A., Williams College, 1999, Ph.D., University of Arizona",n
85,Erica Dankmeyer,Artist-in-Residence in Dance; 1991,"B.A., Williams College",n
86,Andrea Danyluk,Mary A and William Wirt Warren Professor of Computer Science; 1984,"A.B., Vassar College, 1986, M.S., Columbia University, 1992, Ph.D., Columbia University; on leave Fall 2019",f
87,Derek Dean,Lecturer in Biology; 1994,"B.A., Oberlin College/Conservatory, 2004, Ph.D., Cornell University",n
88,Alan De Gooyer,Lecturer in English; 1987,"B.A., Colorado State University, 1991, M.A., University of Denver, 1994, Ph.D., University of Virginia",n
89,Edan Dekel,Chair and Professor of Classics,"Chair of Jewish Studies Program; 1996, B.A., Brown University, 1998, M.A., University of California, Berkeley, 2005, Ph.D., University of California, Berkeley; affiliated with: Religion Department",n
90,Christine DeLucia,Assistant Professor of History; 2006,"A.B., Harvard University, 2009, M.Phil., Yale University, 2012, Ph.D., Yale University",n
91,Raquel L. De Souza,Mellon Postdoctoral Fellow in Africana Studies; 2016,"Ph.D., University of Texas, Austin",n
92,Richard D. De Veaux,Chair & C. Carlisle and Margaret Tippit Professor of Statistics; 1973,"A.B., Princeton University, 1980, M.A., Stanford University, 1986, Ph.D., Stanford University",n
93,Charles B. Dew,Ephraim Williams Professor of American History; 1958,"B.A., Williams College, 1964, Ph.D., Johns Hopkins University; on leave Spring 2020",s
94,Phoebe G. Donnelly,Stanley Kaplan Visiting Postdoctoral Fellow in the Department of Political Science and Leadership Studies Program; 2008,"B.A., University of Wisconsin, Madison, 2013, M.A., The Fletcher School of Law and Diplomacy, Tufts University, 2018, Ph.D., The Fletcher School of Law and Diplomacy, Tufts University",n
95,Charlie Doret,Assistant Professor of Physics; 2002,"B.A., Williams College, 2006, A.M., Harvard University, 2010, Ph.D., Harvard University",n
96,Georges B. Dreyfus,Jackson Professor of Religion; 1969,"B.A., La Chaux-de-Fonds, 1987, M.A., University of Virginia, 1991, Ph.D., University of Virginia; on leave Spring 2020",s
97,Helga Druxes,Paul H. Hunn `55 Professor in Social Studies; 1982,"B.A., Westfalische Wilhelms University, 1985, M.A., Brown University, 1987, Ph.D., Brown University; on leave Spring 2020",s
