,name,title,degrees,leave
34,Casey D. Bohlen,Visiting Assistant Professor of History and Religion,"2008, B.A., Brown University, 2013, M.A., Harvard University, 2016, Ph.D., Harvard University, affiliated with: Religion Department",n
35,Christopher A. Bolton,Professor of Comparative and Japanese Literature,"1989, B.A., Harvard University, 1998, Ph.D., Stanford University",n
36,Ralph M. Bradburd,David A. Wells Professor of Political Economy,"1970, B.A., Columbia College, 1975, M.A., Columbia University, 1976, Ph.D., Columbia University",n
37,Alice C. Bradley,Assistant Professor of Geosciences,"2011, B.E., Dartmouth College, 2014, M.S., University of Colorado, Boulder, 2016, Ph.D., University of Colorado, Boulder",n
38,Rashida K. Braggs,Associate Professor of Africana Studies and Faculty Affiliate in Comparative Literature,"Faculty Fellow of the Davis Center and the Office of Institutional Diversity, Equity and Inclusion, 1998, B.A., Yale University, 2000, M.S., Boston University, 2006, Ph.D., Northwestern University, affiliated with: The Davis Center, VP-InstDivrstyEquity&Inclusion",n
39,Janis Bravo,Instructor in Biology,"1980, B.S., Cornell University, 1990, Ph.D., Rutgers University",n
40,Johanna Breiding,Assistant Professor of Art,"2006, B.A., Scripps College, 2012, M.F.A., California Institute of the Arts",n
41,Theresa Brock,Visiting Assistant Professor of French Language and Francophone Cultures,"2011, B.A., University of Delaware, 2013, M.A., Pennsylvania State University, 2017, Ph.D., Pennsylvania State University",n
42,Victoria Brooks,Visiting Lecturer in the Graduate Program in Art History,"2001, B.A., University of Bristol, 2006, M.A., Royal College of Art",n
43,Deborah Brothers,Costume Director and Lecturer in Theatre,"1976, B.F.A., University of New Orleans, 1979, M.F.A., California Institute of the Arts",n
44,Nicole G. Brown,Assistant Professor of Classics,"2001, B.A., Mount Holyoke College, 2003, M.A.T., University of Massachusetts, Amherst, 2014, M.A., Princeton University, 2018, Ph.D., Princeton University",y
45,Denise K. Buell,Cluett Professor of Religion,"1987, B.A., Princeton University, 1990, M.Div., Harvard University, 1995, Ph.D., Harvard University",f
46,Sandra L. Burton,Lipp Family Director of Dance and Senior Lecturer in Dance,"1983, B.A., City College of New York, 1987, M.F.A., Bennington College",n
47,Xizhen Cai,Assistant Professor of Statistics,"2014, Ph.D., Pennsylvania State University",n
48,Corinna S. Campbell,Associate Professor of Music,"2003, B.M., Northwestern University, 2005, M.M., Bowling Green State University, 2012, Ph.D., Harvard University",n
49,Gerard Caprio,Chair of the Executive Committee for the Center for Development Economics and William Brough Professor of Economics,"1972, B.A., Williams College, 1974, M.A., University of Michigan, 1976, Ph.D., University of Michigan, affiliated with: Ctr-Development Economics",n
50,Deborah L. Carlisle,Instructor in Biology,"2014, Ph.D., University of Massachusetts, Amherst",n
51,Josh Carlson,Visiting Assistant Professor of Mathematics,"2013, B.S., Iowa State University, 2019, Ph.D., Iowa State University",n
52,Anthony J. Carrasquillo,Assistant Professor of Chemistry,"2007, B.A., Bowdoin College, 2007, B.A., Bowdoin College, 2015, Ph.D., Massachusetts Institute of Technology",n
53,Nicholas Carr,Visiting Professor of Sociology,"1981, B.A., Dartmouth College, 1984, M.A., Harvard University",n
54,Matt E. Carter,Associate Professor of Biology,"2000, B.A., Whitman College, 2010, Ph.D., Stanford University, affiliated with: Neuroscience Program",n
55,Gregory P. Casey,Assistant Professor of Economics,"2018, Ph.D., Brown University",n
56,Alison A. Case,Dennis Meenan '54 Third Century Professor of English,"1984, B.A., Oberlin College, 1988, M.A., Cornell University, 1991, Ph.D., Cornell University",n
57,Julie A. Cassiday,Willcox B. and Harriet M. Adsit Professor of Russian,"1986, B.A., Grinnell College, 1990, M.A., Stanford University, 1995, Ph.D., Stanford University",n
58,David N. Cassuto,Class of 1946 Visiting Distinguished Professor of Environmental Studies,"1985, B.A., Wesleyan University, 1994, Ph.D., Indiana University",n
59,Victor A. Cazares,Assistant Professor of Psychology,"2007, B.A., California State University, Los Angeles, 2009, M.A., California State University, Los Angeles, 2015, Ph.D., University of Michigan, affiliated with: Neuroscience Program",n
60,Anik A. Cepeda,Assistant Professor of Physical Education and Head Coach of Women's Tennis,"2013, B.A., College of William and Mary",n
61,Maria Elena Cepeda,Chair and Professor of Latina/o Studies,"1995, B.A., Kenyon College, 1997, M.A., University of Michigan, 2003, Ph.D., University of Michigan, affiliated with: Women, Gender & Sexuality Stdy, American Studies Program",n
62,Arturo Chang,Gaius Charles Bolin Fellow in Political Science,"2015, B.A., DePaul University, 2017, M.A., Northwestern University",n
63,Cecilia Chang,Frederick Latimer Wells Professor of Chinese,"1981, B.A., Fu-Jen University, 1987, M.A., University of California, Los Angeles, 2004, Ph.D., University of Massachusetts, Amherst",n
64,Matthew Chao,Assistant Professor of Economics,"2006, B.A., Dartmouth College, 2015, Ph.D., California Institute of Technology",n
65,Jessica Chapman,Professor of History,"1999, B.A., Valparaiso University, 2001, M.A., University of California, Santa Barbara, 2006, Ph.D., University of California, Santa Barbara",n
66,C. Ondine Chavoya,Professor of Art,"1992, B.A., University of California, Santa Cruz, 1996, M.A., University of Rochester, 2002, Ph.D., University of Rochester, affiliated with: Latina/o Studies Program",n
67,Pei-Wen Chen,Assistant Professor of Biology,"2001, B.S., National Yang-Ming University, 2003, M.S., Albert Einstein College of Medicine, 2008, Ph.D., Albert Einstein College of Medicine",n
68,Franny Choi,Gaius Charles Bolin Fellow in English,"2011, B.A., Brown University, 2018, M.F.A., University of Michigan",n
69,Kerry A. Christensen,Garfield Professor of Ancient Languages,"1981, B.A., Swarthmore College, 1983, M.A., Princeton University, 1993, Ph.D., Princeton University",f
70,Kelly I Chung,Visiting Assistant Professor of of Women's,"Gender, and Sexuality Studies, 2018, Ph.D., Northwestern University",n
71,Cassandra J. Cleghorn,Senior Lecturer in English and American Studies,"1983, B.A., University of California, Santa Cruz, 1988, M.A., Yale University, 1995, Ph.D., Yale University, affiliated with: American Studies Program, on leave Spring 2021",s
72,Phoebe A. Cohen,Associate Professor of Geosciences,"2002, B.A., Cornell University, 2010, Ph.D., Harvard University, on leave Spring 2021",s
73,Jeremy D. Cone,Assistant Professor of Psychology,"2007, B.A., University of Waterloo, 2012, Ph.D., Cornell University",n
74,Michael Conforti,Lecturer in the Graduate Program in Art History,"1968, B.A., Trinity College, 1973, M.A., Harvard University, 1977, Ph.D., Harvard University, affiliated with: Art Department",n
75,Eliza L Congdon,Assistant Professor of Psychology,"2008, B.S., Brown University, 2016, Ph.D., University of Chicago",n
76,José A. Constantine,Assistant Professor of Geosciences,"1999, B.S., College of William and Mary, 2002, M.S., University of California, Davis, 2008, Ph.D., University of California, Santa Barbara",n
77,Mea S. Cook,Chair and Associate Professor of Geosciences,"1999, B.A., Princeton University, 2006, Ph.D., Mass Institute of Technology - Woods Hole Oceanographic Institution Joint Program in Oceanography",n
78,Carl B. Cornell,Visiting Assistant Professor of French,"2011, B.A., St. Lawrence University, 2018, Ph.D., Pennsylvania State University",n
79,Rónadh Cox,Edward Brust Professor of Geology and Mineralogy,"1985, B.S., University College Dublin, 1993, Ph.D., Stanford University",n
80,George T. Crane,Chair of Asian Studies and the Edward S. Greenbaum 1910 Professor of Political Science,"1979, B.A., State University of New York, Purchase, 1981, M.A., University of Wisconsin, Madison, 1986, Ph.D., University of Wisconsin, Madison, affiliated with: Asian Studies Department",n
81,Marshall Creighton,Lecturer in Physical Education and Assistant Strength & Conditioning Coach,"2002, B.A., Williams College",n
82,Justin Crowe,Chair of Leadership Studies and Associate Professor of Political Science,"2003, B.A., Williams College, 2005, M.A., Princeton University, 2007, Ph.D., Princeton University, affiliated with: Leadership Studies Program",n
83,Joseph L. Cruz,Professor of Philosophy,"1991, B.A., Williams College, 1999, Ph.D., University of Arizona",n
84,Erica Dankmeyer,Artist-in-Residence in Dance,"1991, B.A., Williams College",n
85,Andrea Danyluk,Mary A and William Wirt Warren Professor of Computer Science,"Chair of Cognitive Science Program, 1984, A.B., Vassar College, 1986, M.S., Columbia University, 1992, Ph.D., Columbia University, affiliated with: Cognitive Science Program",n
86,Derek Dean,Lecturer in Biology,"1994, B.A., Oberlin College/Conservatory, 2004, Ph.D., Cornell University",n
87,Alan De Gooyer,Lecturer in English,"1987, B.A., Colorado State University, 1991, M.A., University of Denver, 1994, Ph.D., University of Virginia",n
88,Edan Dekel,Chair and Professor of Classics,"Chair of Jewish Studies Program, 1996, B.A., Brown University, 1998, M.A., University of California, Berkeley, 2005, Ph.D., University of California, Berkeley, affiliated with: Religion Department",n
89,Christine DeLucia,Assistant Professor of History,"2006, A.B., Harvard University, 2009, M.Phil., Yale University, 2012, Ph.D., Yale University",n
90,Richard D. De Veaux,C. Carlisle and Margaret Tippit Professor of Statistics,"1973, A.B., Princeton University, 1980, M.A., Stanford University, 1986, Ph.D., Stanford University",n
91,Charlie Doret,Associate Professor of Physics,"2002, B.A., Williams College, 2006, A.M., Harvard University, 2010, Ph.D., Harvard University",n
92,Georges B. Dreyfus,Jackson Professor of Religion,"1969, B.A., La Chaux-de-Fonds, 1987, M.A., University of Virginia, 1991, Ph.D., University of Virginia",f
93,Helga Druxes,Paul H. Hunn `55 Professor in Social Studies,"1982, B.A., Westfalische Wilhelms University, 1985, M.A., Brown University, 1987, Ph.D., Brown University",n
94,Sara Dubow,Associate Dean of the Faculty,"Professor of History, 1991, B.A., Williams College, 1996, M.A., University of Massachusetts at Amherst, 2003, Ph.D., Rutgers University, affiliated with: History Department",n
95,Susan Dunn,Massachusetts Professor of Humanities,", B.A., Smith College, , Ph.D., Harvard University, affiliated with: Leadership Studies Program",n
96,David B. Edwards,James N. Lambert '39 Professor of Anthropology,"1975, B.A., Princeton University, 1979, M.A., University of Michigan, 1986, Ph.D., University of Michigan",n
97,Holly Edwards,Senior Lecturer in Art,"1975, B.A., Princeton University, 1981, M.A., University of Michigan, 1990, Ph.D., New York University Institute of Fine Arts",n
98,Joan Edwards,Samuel Fessenden Clarke Professor of Biology,"1971, B.A., University of Michigan, 1972, M.S., University of Michigan, 1978, Ph.D., University of Michigan, on leave Spring 2021",s
99,Radwa M. El Barouni,Visiting Lecturer in Arabic Studies,"1999, B.A., Alexandria University, 2001, M.A., Alexandria University, 2016, M.A., University of Texas, Austin",n
100,Brahim El Guabli,Assistant Professor of Arabic Studies,"2005, B.A., Bordeaux III University, 2016, Ph.D., Princeton University",n
101,Susan L. Engel,Senior Lecturer in Psychology,"The Class of 1959 Director of Program in Teaching, 1980, B.A., Sarah Lawrence College, 1985, Ph.D., City University of New York, on leave Spring 2021",s
102,Laura D. Ephraim,Associate Professor of Political Science,"2000, B.A., Pomona College, 2010, Ph.D., Northwestern University",n
103,Amal Eqeiq,Assistant Professor of Comparative Literature,"1997, B.A., Hebrew University, 2004, M.A., Tel Aviv University, 2006, M.A., University of Oregon, 2013, Ph.D., University of Washington, affiliated with: Comparative Literature Program",f
104,Pete Farwell,Assistant Professor of Physical Education,"Head Cross Country Coach, and Assistant Coach Men's and Women's Track, 1973, B.A., Williams College, 1990, M.A., Central Michigan University",n
105,Steven Fein,Professor of Psychology,"1986, A.B., Princeton University, 1991, Ph.D., University of Michigan",n
106,Ezra D. Feldman,Visiting Assistant Professor of English,"2002, A.B., Harvard University, 2008, M.F.A., Cornell University, 2017, Ph.D., Cornell University, affiliated with: Science & Technology Studies, Graduate Program-Art History",n
107,Molly Q Feldman,Visiting Assistant Professor of Computer Science,"2011, B.A., Swarthmore College, 2018, M.S., Cornell University, 2020, Ph.D., Cornell University",n
108,Ronald L. Feldman,Artist in Residence in Orchestral and Instrumental Activities/Lecturer in Music,"Director of the Berkshire Symphony, 1971, B.M., Boston University School for the Arts",f
109,Jessica M. Fisher,Associate Professor of English,"1998, B.A., Swarthmore College, 2003, M.A., University of California, Berkeley, 2009, Ph.D., University of California, Berkeley",n
110,Stephen Fix,Robert G Scott '68 Professor of English,"1974, B.A., Boston College, 1977, M.A., Cornell University, 1980, Ph.D., Cornell University",n
111,Kevin Flaherty,Lecturer in Astronomy and Observatory Supervisor,"2005, B.S., University of Rochester, 2011, Ph.D., University of Arizona, affiliated with: Physics Department",n
112,Antonia E. Foias,Professor of Anthropology,"1987, B.A., Harvard University, 1996, Ph.D., Vanderbilt University",n
113,VaNatta S. Ford,Assistant Professor of Africana Studies,"2000, B.S., Illinois State University, 2005, M.Div., Howard University, 2011, Ph.D., Howard University",n
114,Caroline O. Fowler,Lecturer in the Graduate Program in Art History,"2012, Ph.D., Princeton University",n
115,Soledad Fox,V-Nee Yeh '81 Professor of Spanish and Comparative Literature,"1990, B.A., Sarah Lawrence College, 1997, M.A., City University of New York, 2001, Ph.D., City University of New York",n
116,Jennifer L. French,Professor of Spanish,"1995, B.A., College of William and Mary, 1997, M.A., Rutgers University, 2001, Ph.D., Rutgers University",n
117,Stephen N. Freund,Chair & John B. McCoy and John T. McCoy Professor of Computer Science,"1995, B.S., Stanford University, 1998, M.S., Stanford University, 2000, Ph.D., Stanford University",n
118,Alexandra Garbarini,Professor of History,"1994, B.A., Williams College, 1997, M.A., University of California, Los Angeles, 2003, Ph.D., University of California, Los Angeles",n
119,Thomas A. Garrity,Webster Atwell Class of 1921 Professor of Mathematics,"1981, B.A., University of Texas, 1981, B.S., University of Texas, 1986, Ph.D., Brown University",y
120,Amy Gehring,Professor of Chemistry,"Chair of Biochemistry Program, 1994, B.A., Williams College, 1998, Ph.D., Harvard University, 2002, Postdoctoral Fellow at, Harvard University",n
121,William M. Gentry,Professor of Economics,"1986, B.S., Massachusetts Institute of Technology, 1991, M.A., Princeton University, 1991, Ph.D., Princeton University",n
122,Steven B. Gerrard,Professor of Philosophy,"1978, B.A., Amherst College, 1982, M.A., University of Chicago, 1987, Ph.D., University of Chicago, on leave Spring 2021",s
123,Matthew Gibson,Assistant Professor of Economics,"2005, A.B., Harvard University, 2015, Ph.D., University of California, San Diego",n
124,Lisa A. Gilbert,Professor of Geosciences and Marine Sciences at Williams-Mystic,"1997, A.B., Dartmouth College, 1999, M.S., University of Washington, 2004, Ph.D., University of Washington, affiliated with: Geosciences Department",n
125,Meghan K. Gillis,Assistant Professor of Physical Education and Head Coach of Women's Ice Hockey,"2007, B.A., Bowdoin College, 2009, M.S., University of Massachusetts, Amherst",n
126,Allison L. Gill,Assistant Professor of Biology,"2011, B.A., Mount Holyoke College, 2017, Ph.D., Boston University",n
127,Graham K. Giovanetti,Assistant Professor of Physics,"2006, B.S., College of William and Mary, 2015, Ph.D., University of North Carolina, Chapel Hill",n
128,Michael A. Glier,Alexander Falck Class of 1899 Professor of Art,"1976, B.A., Williams College, 1977, M.A., Hunter College City University of New York",n
129,Susan Godlonton,Associate Professor of Economics,"2003, B.A., University of Cape Town, 2003, B.A., Stellenbosch University, 2007, M.A., University of Cape Town, 2013, Ph.D., University of Michigan",n
130,Eva G. Goedhart,Visiting Assistant Professor of Mathematics,"2003, B.S., James Madison University, 2005, M.A., Wake Forest University, 2015, Ph.D., Bryn Mawr College",n
131,Christopher Goh,Professor of Chemistry,"Faculty Fellow of the Davis Center and the Office of Institutional Diversity, Equity and Inclusion, 1989, B.S., University of Durham, 1996, Ph.D., Harvard University, affiliated with: The Davis Center, VP- InstDivrstyEquity&Inclusion",n
132,Sarah L. Goh,Chair and Professor of Chemistry,"1996, B.S., University of Michigan, 1998, M.S., University of Massachusetts, Amherst, 2004, Ph.D., University of California, Berkeley",n
133,Leo Goldmakher,Associate Professor of Mathematics,"2004, B.A., Princeton University, 2009, Ph.D., University of Michigan",n
134,Matthew A. Gold,Artist in Residence in Percussion and Contemporary Music Performance,"1994, B.M., Northwestern University, 2016, M.M., Shepherd School of Music, Rice University",n
135,Ed Gollin,Chair and Professor of Music,"1992, B.S., Massachusetts Institute of Technology, 1995, M.A., Queens College, CUNY, 2000, Ph.D., Harvard University",n
136,Manuel Gonzales,Visiting Assistant Professor of English,"1996, B.A., University of Texas, Austin, 2003, M.F.A., Columbia University",n
137,Marc Gotlieb,Halvorsen Director of the Graduate Program in Art History,"1980, B.A., University of Toronto, 1984, M.A., Johns Hopkins University, 1990, Ph.D., Johns Hopkins University, affiliated with: Art Department",n
138,David Gürçay-Morris,Associate Professor of Theatre,"1996, B.A., Williams College, 2001, M.F.A., University of Washington, Seattle",y
139,Daniel R. Greenberg,Assistant Professor of Physical Education and Head Coach of Men's Tennis,"2013, M.Ed., Massachusetts College of Liberal Arts",n
140,Kai M. Green,Assistant Professor of Women's,"Gender and Sexuality Studies, 2007, B.A., Williams College, 2011, M.A., University of Southern California, 2014, Ph.D., University of Southern California",y
141,Kerry-Ann Green,Assistant Professor of Chemistry,"2006, B.Sc., The University of the West Indies, Mona, 2013, D.Phil, The University of the West Indies, Mona, 2020, Postdoctoral Fellow at, West Virginia University",n
142,Wang Guowei,Artist in Residence in Chinese Music Performance and Director of the Williams College Chinese Ensemble,none,n
143,Kelsey Gura,Assistant Professor of Physical Education and Head Alpine Ski Coach,"2010, B.A., Williams College",n
144,Kim Gutschow,Lecturer in Religion and Anthropology/Sociology,"1988, B.A., Harvard University, 1995, M.A., Harvard University, 1998, Ph.D., Harvard University, affiliated with: Anthropology and Sociology",n
145,Catherine Robinson Hall,Associate Professor at Williams-Mystic,"1985, B.A., University of Rhode Island, 1989, J.D., Vermont Law School, affiliated with: Maritime Studies Program",n
146,Amie A. Hane,Professor of Psychology,"Chair of Public Health, 1996, B.A., University of Maryland, 1999, M.A., University of Maryland, 2002, Ph.D., University of Maryland, affiliated with: Neuroscience Program, Public Health Program, on leave Spring 2021",s
147,Nicole T. Harrington,Visiting Assistant Professor of Psychology,"1987, B.A., Boston College, 1995, Ph.D., University of Vermont",n
148,Pamela E. Harris,Associate Professor of Mathematics,"2005, B.S., Marquette University, 2008, M.S., University of Wisconsin, Milwaukee, 2012, Ph.D., University of Wisconsin, Milwaukee",n
149,Katie M. Hart,Assistant Professor of Chemistry,"2004, B.S., Haverford College, 2013, Ph.D., University of California, Berkeley",n
150,Laurie Heatherington,Edward Dorr Griffin Professor of Psychology,"1976, B.A., Miami University, 1981, Ph.D., University of Connecticut",n
151,Guy M. Hedreen,Amos Lawrence Professor of Art,"1981, B.A., Pomona College, 1983, M.A., Bryn Mawr College, 1988, Ph.D., Bryn Mawr College",n
152,Kris Herman,Assistant Professor of Physical Education,"Head Softball Coach, 1986, B.A., Tufts University, 1989, M.A., Tufts University",n
153,Man He,Assistant Professor of Chinese,"2000, B.A., Renmin University, 2004, M.A., Seton Hall University, 2009, M.A., Ohio State University, 2015, Ph.D., Ohio State University",n
154,Bethany Hicok,Lecturer in English,"1980, B.A., Russell Sage College, 1990, M.A.T., University of Rochester, 1992, M.A., University of Rochester, 1996, Ph.D., University of Rochester",n
155,Jacqueline Hidalgo,Associate Dean for Institutional Diversity,"Equity and Inclusion, Professor of Latina/o Studies and Religion, 2000, B.A., Columbia University, 2003, M.A., Union Theological Seminary, 2010, Ph.D., Claremont Graduate University, affiliated with: Religion Department, Latina/o Studies Program",n
156,Josh D. Hillman,Lecturer in Physical Education and Head Men's Golf Coach,"2000, B.A., University of Rhode Island",n
157,Alan Hirsch,Lecturer in Humanities,"Chair of Justice and Law Studies, 1981, B.A., Amherst College, 1985, J.D., Yale University, affiliated with: Justice and Law",n
158,Marjorie W. Hirsch,Professor of Music,"1982, B.A., Yale University, 1985, M.Phil., Yale University, 1989, Ph.D., Yale University",n
159,Nate D. Hoey,Assistant Professor of Physical Education,"Head Women's Track & Field Coach, 2000, B.S., Slippery Rock College",n
160,Cynthia K. Holland,Assistant Professor of Biology,"2018, Ph.D., Washington University",n
161,Amy S. Holzapfel,Professor of Theatre,"1996, B.A., Brown University, 2001, M.F.A., Yale School of Drama, 2006, D.F.A., Yale School of Drama",n
162,Kiaran Honderich,Lecturer in Women's,"Gender and Sexuality Studies, 1983, B.A., Oxford University, 1984, M.A., Columbia University, 1991, Ph.D., University of Massachusetts, Amherst, affiliated with: Public Health Program",n
163,Scott D. Honecker,Assistant Professor of Physical Education and Head Coach of Wrestling,"2010, B.S., East Carolina University",n
164,Catherine N. Howe,Lecturer in Art,"1997, B.A., Barnard College, 2005, M.A., University of California, Santa Barbara, 2012, Ph.D., University of California, Santa Barbara",n
165,Nicolas C. Howe,Director of CES and the Environmental Studies Program,"Associate Professor of Environmental Studies and Faculty Affiliate in Anthropology and Sociology, 1998, B.A., Columbia University, 2003, M.A., University of California, Los Angeles, 2009, Ph.D., University of California, Los Angeles, affiliated with: Anthropology and Sociology",n
166,Iris Howley,Assistant Professor of Computer Science,"2008, B.S., Drexel University, 2012, Ph.D., Carnegie Mellon University",n
167,Vivian L. Huang,Assistant Professor of Women's,"Gender, and Sexuality Studies, 2008, B.A., University of California, Berkeley, 2008, B.A., University of California, Berkeley, 2009, M.A., New York University, 2016, Ph.D., New York University",y
168,Timothy Hyde,Clark Oakley Fellow,none,n
169,Jeffrey I. Israel,Associate Professor of Religion,"1999, B.A., Oberlin College, 2001, M.A., University of Chicago, 2011, Ph.D., University of Chicago",f
170,Olesya Ivantsova,Visiting Lecturer in the Graduate Program in Art History,"2002, Ph.D., Ulyanovsk State University",n
171,Galen E Jackson,Assistant Professor of Political Science,"2009, B.A., Williams College, 2010, M.A., University of Chicago, 2016, Ph.D., University of California, Los Angeles",n
172,Frank Jackson,Visiting Assistant Professor of Art,"1984, B.F.A., Virginia Commonwealth University, 1990, M.F.A., University of California, Davis",n
173,Sarah A. Jacobson,Associate Professor of Economics,"1998, B.S., Harvey Mudd College, 2005, M.A., Georgia State University, 2010, Ph.D., Georgia State University",n
174,Pamela Jakiela,Associate Professor of Economics,"1999, B.A., University of Michigan, 2000, M.Sc., London School of Economics, 2008, Ph.D., University of California, Berkeley",n
175,Joy A. James,Ebenezer Fitch Professor of Humanities,"1980, B.A., St. Mary's University, San Antonio, 1982, M.A., Fordham University, 1987, Ph.D., Fordham University, affiliated with: Political Science Department",n
176,Bill K. Jannen,Assistant Professor of Computer Science,"2009, B.A., Williams College, 2017, Ph.D., Stony Brook University",n
177,Anne Jaskot,Assistant Professor of Astronomy and Associate of the Hopkins Observatory,"2008, B.A., Williams College, 2014, Ph.D., University of Michigan, Ann Arbor, affiliated with: Physics Department",n
178,Regine M Jean-Charles,W. Ford Schumann Visiting Professor in Democratic Studies,"2000, B.A., University of Pennsylvania, 2002, A.M., Harvard University, 2006, Ph.D., Harvard University, affiliated with: Africana Studies",n
179,Katharine E. Jensen,Assistant Professor of Physics,"2004, A.B., Princeton University, 2013, Ph.D., Harvard University",y
