,name,title,degrees,leave
0,Daniel P. Aalberts,Kennedy P. Richardson '71 Professor of Physics,"1989, B.S., Massachusetts Institute of Technology, 1994, Ph.D., Massachusetts Institute of Technology, 1996, Postdoctoral Research at, University of Leiden, 1997, Postdoctoral Fellow at, Rockefeller University",n
1,Tomas Adalsteinsson,Assistant Professor of Physical Education and Head Women's Golf Coach,"2011, M.A., John F. Kennedy University",n
2,Colin C. Adams,Thomas T. Read Professor of Mathematics,"1978, B.S., Massachusetts Institute of Technology, 1983, Ph.D., University of Wisconsin, Madison",y
3,Zaid Adhami,Assistant Professor of Religion and Faculty Affiliate in Anthropology & Sociology,"2010, M.A., Stanford University, 2010, B.A., Stanford University, 2017, Ph.D., Duke University, affiliated with: Anthropology and Sociology",f
4,Jeannie R Albrecht,Professor of Computer Science,"2001, B.S., Gettysburg College, 2003, M.S., Duke University, 2007, Ph.D., University of California, San Diego",y
5,Cecilia Aldarondo,Assistant Professor of Art,"2012, Ph.D., University of Minnesota",n
6,Laylah Ali,Francis Christopher Oakley Third Century Professor of Art,"1991, B.A., Williams College, 1994, M.F.A., Washington University in St. Louis",y
7,Kris Allen,Lyell B. Clay Artist in Residence in Jazz Activities/Lecturer in Music,"Director of the Jazz Ensemble, 1998, B.M., Hartt School, University of Hartford, 2004, M.M., State University of NY, Purchase Conservatory",n
8,Sarah M. Allen,Chair and Associate Professor of Comparative Literature,"1992, A.B., Harvard University, 1996, M.A., University of Michigan, 2003, Ph.D., Harvard University, affiliated with: Asian Studies Department",n
9,Alex A. Apotsos,Lecturer in Geosciences,"1999, B.S., Duke University, 2007, Ph.D., Massachusetts Institute of Technology",n
10,Michelle M. Apotsos,Associate Professor of Art,"1999, B.A., University of North Carolina, Chapel Hill, 2005, M.F.A., University of Arkansas, Fayetteville, 2006, M.A., Tufts University, 2013, Ph.D., Stanford University",n
11,Kevin M. App,Assistant Professor of Physical Education and Head Men's Basketball Coach,"2007, B.S., Cornell University",n
12,Quamrul H. Ashraf,Professor of Economics,"1999, B.A., Trinity College, 2004, M.A., Brown University, 2009, Ph.D., Brown University, on leave Spring 2021",s
13,Sonya K. Auer,Visiting Assistant Professor of Biology,"2001, B.A., Prescott College, 2011, Ph.D., University of California, Riverside",n
14,Hossein Ayazi,Visiting Assistant Professor of American Studies,"2010, B.Sc., University of California, San Diego, 2018, Ph.D., University of California, Berkeley",n
15,Duane A. Bailey,Professor of Computer Science,"1982, B.A., Amherst College, 1984, M.S., University of Massachusetts, Amherst, 1988, Ph.D., University of Massachusetts, Amherst",n
16,Robert E. Baker-White,Professor of Theatre,"1980, B.A., Williams College, 1983, M.F.A., University of Washington, 1990, Ph.D., Stanford University, on leave Spring 2021",s
17,Jon M. Bakija,W. Van Alan Clark '41 Third Century Professor in the Social Sciences,"1990, B.A., Wesleyan University, 1995, M.A., University of Michigan, 2000, Ph.D., University of Michigan",n
18,Lois M. Banta,Chair and Professor of Biology,"1983, B.A., Johns Hopkins University, 1990, Ph.D., California Institute of Technology",n
19,Daniel W. Barowy,Assistant Professor of Computer Science,"2002, B.A., University of Massachusetts, Amherst, 2010, B.S., Boston University, 2013, M.S., Boston University, 2017, Ph.D., University of Massachusetts, Amherst",y
20,Alix H. Barrale,Assistant Professor of Physical Education and Head Field Hockey Coach,"1993, B.A., Williams College, 1996, M.S., Smith College",n
21,Bill Barrale,Assistant Professor of Physical Education,"Head Baseball Coach, 1994, B.S., Northeastern University, 2004, M.A., Rowan University",n
22,Ethan M. Barron,Assistant Professor of Physical Education,"Head Men's Track & Field Coach, 2001, B.A., Tufts University, 2005, M.Ed., Middlebury College",n
23,Melissa J. Barry,Professor of Philosophy,"1988, B.A., Wheaton College, 1998, Ph.D., University of Notre Dame",n
24,Ron D. Bassar,Assistant Professor of Biology,"2001, B.A., Prescott College, 2011, Ph.D., University of California, Riverside",y
25,Gene H. Bell-Villada,Harry C. Payne Professor of Romance Languages,"1963, B.A., University of Arizona, 1967, M.A., University of California, Berkeley, 1974, Ph.D., Harvard University",n
26,Ben Benedict,Senior Lecturer,"1973, B.A., Yale University, 1976, M.Arch., Yale University",n
27,Magnús T. Bernhardsson,Chair of Arabic Studies,"Brown Professor of History and Faculty Affiliate in Leadership Studies and Religion, 1990, B.A., University of Iceland, 1992, M.A., Yale University, 1999, Ph.D., Yale University, affiliated with: Leadership Studies Program, Arabic Studies Department, Religion Department",n
28,Alexander Bevilacqua,Assistant Professor of History,"2007, B.A., Harvard University, 2008, M.Phil., Cambridge University, 2010, M.A., Princeton University, 2014, Ph.D., Princeton University",y
29,Mari Rodriguez Binnie,Assistant Professor of Art,"2005, B.A., Northwestern University, 2011, M.A., University of Texas, Austin, 2017, Ph.D., University of Texas, Austin",y
30,William B. Binnie,Visiting Lecturer in Art,"2008, B.A., Pitzer College, the Claremont College, 2014, M.F.A., Southern Methodist University, Meadows School of Arts",n
31,Julie C. Blackwood,Associate Professor of Mathematics,"2006, B.S., Rochester Institute of Technology, 2010, Ph.D., University of California, Davis, on leave Spring 2021",s
32,M. Jennifer Bloxam,Herbert H Lehman Professor of Music,"1979, B.M., University of Illinois, 1982, M.A., Yale University, 1987, Ph.D., Yale University",n
33,Thomas P. Blumenauer,Lecturer in Physical Education,"Assistant Football Coach, 2007, B.S., Ithaca College, 2012, M.Ed., Saint Lawrence University",n
